Plot,Tree,2002Rating,2002DBH,2003Rating,2003DBH ,2004Rating,2004DBH,2005Rating,2005DBH,2007Rating,2007DBH,2008Rating,2008DBH,2009Rating,2009DBH,2010Rating,2010DBH,2011Rating,2011DBH,2013Rating,2013DBH,2014Rating,2014DBH
2,38,,,,,3,40.2,3,38.2,3,39.3,3,38.5,3,39.2,3,39.6,3,41.7,3,40.7,3,39.9
2,48,3,18.5,2,19,3,19.7,3,19.2,3,20.7,2,20.5,3,21,3,1.2,3,21.4,3,21.6,3,21
2,52,3,33.3,3,33.6,2,34,2,33.9,2,-1,0,,0,,0,,0,,0,,0,
2,53,,,,,2,33,2,18,2,1,2,0.5,2,0.5,3,,2,,0,,0,
2,54,1,20.3,3,20.6,3,20.9,3,21.2,3,22.4,3,22.7,3,23,3,23.2,3,23.8,3,25.5,3,23.7
2,62,3,34,3,34.7,3,34.8,3,35.2,3,37.8,3,36.5,3,36.6,3,37.4,3,37.3,2,1.9,2,37.5
2,63,,,,,3,44.1,2,43.6,3,45,3,43.4,3,43.7,3,45,3,43.2,2,,0,
2,64,3,49.3,2,50.9,3,51.1,3,50.9,3,51.5,3,51.4,3,51.4,3,52.3,3,51.4,2,0.8,3,51.5
2,65,3,32.3,3,33.1,3,32.5,2,32.5,3,32.7,3,33,3,33,4,33.1,3,31.3,2,2,2,2.7
2,66,3,36.3,4,36.9,4,38,4,38,3,34.8,3,40.3,3,40.5,3,41.2,2,41.5,2,42.5,2,41.4
2,70,3,42.7,3,44.3,,,3,45,3,48.9,3,49.8,3,51.4,3,53.5,3,54.9,3,56,3,56.1
2,77,3,40.1,3,41.5,3,41.7,2,40.5,3,40.7,3,39.5,1,,,,0,,3,42.3,3,39
2,79,3,39.9,3,40.5,3,40.5,2,40.2,3,40.6,3,41.4,3,41.4,3,41.5,2,41.1,1,41.6,2,1.3
2,111,3,33.8,3,34.2,5,34.5,3,35.3,4,36.3,3,36.9,3,37.2,3,38,4,39,3,39.9,3,40.1
2,112,3,23.9,2,24.5,3,24.8,3,24.9,3,25,3,25.6,3,26.4,3,26.5,3,26.5,2,2.2,3,2.7
2,113,1,21.8,2,22.5,,,,,3,15,4,15.4,4,15.4,3,15.6,3,15.6,2,3.2,3,24.5
2,114,2,28.4,2,28.7,2,20.7,3,29.1,3,1.9,3,29.9,3,31,3,31.5,3,30.5,3,31,3,31
2,115,2,43.2,2,43.2,3,43.4,3,43.6,3,44.8,3,44.4,3,44.5,3,46.6,3,44.5,3,47.6,3,44.7
2,116,3,34.5,3,35.5,3,36,3,36.4,3,37.7,3,37.5,3,39.1,3,39.5,2,38.8,3,38.5,3,39.6
2,118,,,,,,,,,,,1,-1,1,0.2,1,1.4,2,0.6,2,2.6,2,2.4
2,149,3,15,3,15.7,3,16.1,3,16.4,3,18.2,3,17.2,3,17,3,17.1,3,18.1,1,0.3,2,0.2
2,164,2,6.9,2,7.1,2,7.3,4,7.8,4,9,3,8.9,3,9.1,3,9.5,3,9.5,3,9.8,3,9.4
